Periode,suhu
1/1/2022,27.81
1/2/2022,27.56
1/3/2022,28.35
1/4/2022,28.13
1/5/2022,28.55
1/6/2022,27.91
1/7/2022,27.58
1/8/2022,28.05
1/9/2022,27.86
1/10/2022,27.95
1/11/2022,27.28
1/12/2022,27.16
1/13/2022,27.15
1/14/2022,27.39
1/15/2022,27.28
1/16/2022,27.4
1/17/2022,27.65
1/18/2022,27.02
1/19/2022,27.28
1/20/2022,26.98
1/21/2022,27.44
1/22/2022,27.43
1/23/2022,27.85
1/24/2022,27.67
1/25/2022,27.33
1/26/2022,27.25
1/27/2022,27.27
1/28/2022,27.46
1/29/2022,27.4
1/30/2022,27.69
1/31/2022,27.5
2/1/2022,27.44
2/2/2022,27.21
2/3/2022,27.34
2/4/2022,27.77
2/5/2022,27
2/6/2022,27.31
2/7/2022,27.36
2/8/2022,27.42
2/9/2022,27.14
2/10/2022,27.15
2/11/2022,27.24
2/12/2022,27.41
2/13/2022,27.06
2/14/2022,27.62
2/15/2022,28.12
2/16/2022,28.06
2/17/2022,27.55
2/18/2022,27.37
2/19/2022,27.87
2/20/2022,27.85
2/21/2022,27.63
2/22/2022,27.81
2/23/2022,27.55
2/24/2022,27.58
2/25/2022,27.43
2/26/2022,27.26
2/27/2022,27.41
2/28/2022,27.62
3/1/2022,27.34
3/2/2022,27.47
3/3/2022,27.51
3/4/2022,27.18
3/5/2022,27.3
3/6/2022,27.43
3/7/2022,27.52
3/8/2022,27.64
3/9/2022,28.19
3/10/2022,28.04
3/11/2022,27.8
3/12/2022,27.31
3/13/2022,27.63
3/14/2022,28.31
3/15/2022,27.51
3/16/2022,27.98
3/17/2022,28.33
3/18/2022,28.49
3/19/2022,28.03
3/20/2022,27.85
3/21/2022,27.55
3/22/2022,27.67
3/23/2022,27.62
3/24/2022,27.81
3/25/2022,28.19
3/26/2022,28.01
3/27/2022,28.01
3/28/2022,28.16
3/29/2022,27.87
3/30/2022,28.26
3/31/2022,28
4/1/2022,28.01
4/2/2022,28.35
4/3/2022,27.93
4/4/2022,28.43
4/5/2022,28.33
4/6/2022,28.2
4/7/2022,28.19
4/8/2022,27.8
4/9/2022,28.23
4/10/2022,28.23
4/11/2022,27.91
4/12/2022,28.18
4/13/2022,28.54
4/14/2022,28.59
4/15/2022,28.71
4/16/2022,28.79
4/17/2022,28.84
4/18/2022,28.95
4/19/2022,28.85
