Periode,suhu
1,27.81
2,27.56
3,28.35
4,28.13
5,28.55
6,27.91
7,27.58
8,28.05
9,27.86
10,27.95
11,27.28
12,27.16
13,27.15
14,27.39
15,27.28
16,27.4
17,27.65
18,27.02
19,27.28
20,26.98
21,27.44
22,27.43
23,27.85
24,27.67
25,27.33
26,27.25
27,27.27
28,27.46
29,27.4
30,27.69
31,27.5
32,27.44
33,27.21
34,27.34
35,27.77
36,27
37,27.31
38,27.36
39,27.42
40,27.14
41,27.15
42,27.24
43,27.41
44,27.06
45,27.62
46,28.12
47,28.06
48,27.55
49,27.37
50,27.87
51,27.85
52,27.63
53,27.81
54,27.55
55,27.58
56,27.43
57,27.26
58,27.41
59,27.62
60,27.34
61,27.47
62,27.51
63,27.18
64,27.3
65,27.43
66,27.52
67,27.64
68,28.19
69,28.04
70,27.8
71,27.31
72,27.63
73,28.31
74,27.51
75,27.98
76,28.33
77,28.49
78,28.03
79,27.85
80,27.55
81,27.67
82,27.62
83,27.81
84,28.19
85,28.01
86,28.01
87,28.16
88,27.87
89,28.26
90,28
91,28.01
92,28.35
93,27.93
94,28.43
95,28.33
96,28.2
97,28.19
98,27.8
99,28.23
100,28.23
101,27.91
102,28.18
103,28.54
104,28.59
105,28.71
106,28.79
107,28.84
108,28.95
109,28.85
110,28.21
111,27.8
112,28.18
113,28.46
114,28.63
115,28.97
116,28.32
117,28.37
118,28
119,28.51
120,28.28
121,28.28
122,28.29
123,28.23
124,28.29
125,28.61
126,28.19
127,28.72
128,28.91
129,28.44
130,28.43
131,28.73
132,28.46
133,28.3
134,28.72
135,28.85
136,28.73
137,28.5
138,28.41
139,28.6
140,27.95
141,28.07
142,28.08
143,28.05
144,28.14
145,28.01
146,27.57
147,28.28
148,27.98
149,27.91
150,27.93
151,27.51
152,27.78
153,28.15
154,28.05
155,28
156,28.26
157,27.79
158,27.83
159,27.9
160,27.54
161,28.08
162,28.01
163,27.8
164,27.96
165,27.82
166,27.69
167,27.41
168,27.45
169,27.83
170,27.9
171,27.73
172,27.43
173,27.48
174,27.78
175,27.4
176,27.63
177,27.84
178,27.99
179,28.14
180,28.11
181,27.59
182,27.74
183,28.08
184,28.02
185,27.62
186,27.87
187,27.71
188,28.25
189,28.41
190,28.02
191,27.61
192,27.66
193,27.63
194,27.54
195,27.51
196,27.94
197,27.04
198,26.94
199,27.58
200,27.9
201,27.93
202,27.87
203,27.62
204,27.98
205,27.83
206,27.63
207,27.33
208,27.26
209,27.16
210,27.7
211,27.77
212,27.56
213,27.64
214,27.48
215,27.29
216,27.51
217,27.69
218,27.58
219,27.69
220,28.15
221,28.3
222,28.2
223,28.07
224,28.29
225,28.01
226,27.81
227,27.73
228,27.83
229,27.82
230,27.9
231,28.06
232,27.98
233,27.92
234,27.78
235,28.04
236,28.11
237,27.69
238,27.71
239,27.83
240,27.83
241,28.01
242,28.07
243,28.08
244,27.94
245,28.19
246,28.26
247,28.32
248,27.59
249,27.82
250,28.12
251,27.08
252,27.56
253,27.26
254,27.98
255,28.29
256,28.23
257,27.19
258,27.91
259,28.08
260,28.14
261,28.13
262,27.81
263,27.82
264,27.81
265,27.9
266,27.68
267,28.07
268,28.65
269,28.85
270,28.49
271,28.79
272,28.43
273,28.06
274,28.35
275,28.05
276,28.3
277,28
278,27.87
279,27.9
280,27.53
281,27.23
282,28.1
283,27.58
284,27.43
285,27.83
286,27.78
287,28.17
288,28.08
289,28.58
290,27.76
291,28
292,28.36
293,27.69
294,27.93
295,28.05
296,27.98
297,28.13
298,27.94
299,27.54
300,27.96
301,28.03
302,28.5
303,28.48
304,28.1
305,28.46
306,28.83
307,27.9
308,27.92
309,27.89
310,27.96
311,27.88
312,27.54
313,28.01
314,27.92
315,27.87
316,28.15
317,27.67
318,28.08
319,27.57
320,27.9
321,27.65
322,27.79
323,27.66
324,27.8
325,28.05
326,28.07
327,27.94
328,27.74
329,27.73
330,27.71
331,27.9
332,27.72
333,27.51
334,27.98
335,27.98
336,28.58
337,27.86
338,27.83
339,27.92
340,28.19
341,28.08
342,28.18
343,27.82
344,27.86
345,27.91
346,28.19
347,27.78
348,27.55
349,27.69
350,27.7
351,27.93
352,28.23
353,28.36
354,28.24
355,27.57
356,27.32
357,27.01
358,27.33
359,27.08
360,27.43
361,27.04
362,27.38
363,27.27
364,27.23
365,27.08
366,26.97
367,27.09
368,26.89
369,26.78
370,26.98
371,27.26
372,27.43
373,27.29
374,27.45
375,27.45
376,27.93
377,27.58
378,27.85
379,27.49
380,27.72
381,27.36
382,27.29
383,27.08
384,26.58
385,27.43
386,27.35
387,27.27
388,27.19
389,26.98
390,26.46
391,26.65
392,26.57
393,26.57
394,26.87
395,27.05
396,26.87
397,26.94
398,26.65
399,26.74
400,27.03
401,27.22
402,27.41
403,26.86
404,26.8
405,27.01
406,27.16
407,26.78
408,26.58
409,26.85
410,27.09
411,26.83
412,27.16
413,27.19
414,27.08
415,27.15
416,27.44
417,27.08
418,26.55
419,26.9
420,26.81
421,26.24
422,26.85
423,26.68
424,26.72
425,26.74
426,26.53
427,26.82
428,26.94
429,26.67
430,26.87
431,27.56
432,27.01
433,27.26
434,27.94
435,27.97
436,27.85
437,27.98
438,27.32
439,26.92
440,27.65
441,27.75
442,27.62
443,27.4
444,27.73
445,27.59
446,28.24
447,28.4
448,28.31
449,28.31
450,28.39
451,28.01
452,27.73
453,27.99
454,27.85
455,27.53
456,27.27
457,27.9
458,27.63
459,27.45
460,27.98
461,27.73
462,27.71
463,28.11
464,27.68
465,27.47
466,28.03
467,28.05
468,27.9
469,28.23
470,27.92
471,27.92
472,28.3
473,28.21
474,27.98
475,28.22
476,27.89
477,28.45
478,28.19
479,28.46
480,28.29
481,28.69
482,28.71
483,28.83
484,28.57
485,28.93
486,28.99
487,28.96
488,28.74
489,28.87
490,29.12
491,28.35
492,28.62
493,28.54
494,28.94
495,28.87
496,28.5
497,28.74
498,29.01
499,28.63
500,28.68
501,28.63
502,28.65
503,28.49
504,28.21
505,28.42
506,28.69
507,28.73
508,28.24
509,28.4
510,28.62
511,28.37
512,28.06
513,28.35
514,28.57
515,28.62
516,28.74
