Periode,Kurs jual euro
1,16637.72
2,16662.374
3,16805.698
4,16800.652
5,16703.482
6,16705.908
7,16893.996
8,16710.366
9,16449.254
10,16462.324
11,16292.4
12,16037.264
13,16094.84
14,16156.274
15,16191.264
16,16279.206
17,16321.864
18,16340.956
19,16368.668
20,16398.396
21,16482.06
22,16525.356
23,16391.77
24,16253.82
25,16267.892
26,16348.708
27,16320.24
28,16381.022
29,16405.938
30,16497.304
31,16694.794
32,16698.004
33,16722.596
34,16686.878
35,16585.74
36,16361.744
37,16391.944
38,16299.232
39,16088.208
40,15626.654
41,15609.622
42,15461.754
43,15178.138
44,15012.596
45,15058.28
46,14744.6
47,14994.06
48,15067.624
49,14925.826
50,14912.912
51,14978.054
52,15207.176
53,15285.494
54,15309.28
55,15368.52
56,15216.912
57,15271.982
58,15652.34
59,15726.27333
60,15618.772
61,15539.75
62,15616.868
63,15725.272
64,15474.03
65,15377.04
66,15551.972
67,15632.906
68,15719.896
69,15967.802
70,15865.558
71,15889.712
72,15819.01
73,15929.614
74,16291.694
75,16334.94
76,16492.122
77,16283.478
78,16284.454
79,16420.506
80,16357.446
81,16268.2
82,16194.22
83,16254.982
84,16280.592
85,16332.06
86,16285.324
87,16143.768
88,16314.17833
89,16578.088
90,16609.81
91,16555.906
92,16480.742
93,16525.068
94,16639.268
95,16776.988
96,16816.326
97,16936.952
98,16980.482
99,17187.038
100,17241.81
101,17265.916
102,17316.82
103,17307.56
104,17375.43
