Periode,suhu
1,28.01
2,28.35
3,27.93
4,28.43
5,28.33
6,28.2
7,28.19
8,27.8
9,28.23
10,28.23
11,27.91
12,28.18
13,28.54
14,28.59
15,28.71
16,28.79
17,28.84
18,28.95
19,28.85
20,28.21
21,27.8
22,28.18
23,28.46
24,28.63
25,28.97
26,28.32
27,28.37
28,28
29,28.51
30,28.28
31,28.28
32,28.29
33,28.23
34,28.29
35,28.61
36,28.19
37,28.72
38,28.91
39,28.44
40,28.43
41,28.73
42,28.46
43,28.3
44,28.72
45,28.85
46,28.73
47,28.5
48,28.41
49,28.6
50,27.95
51,28.07
52,28.08
53,28.05
54,28.14
55,28.01
56,27.57
57,28.28
58,27.98
59,27.91
60,27.93
61,27.51
62,27.78
63,28.15
64,28.05
65,28
66,28.26
67,27.79
68,27.83
69,27.9
70,27.54
71,28.08
72,28.01
73,27.8
74,27.96
75,27.82
76,27.69
77,27.41
78,27.45
79,27.83
80,27.9
81,27.73
82,27.43
83,27.48
84,27.78
85,27.4
86,27.63
87,27.84
88,27.99
89,28.14
90,28.11
91,27.59
92,27.74
93,28.08
94,28.02
95,27.62
96,27.87
97,27.71
98,28.25
99,28.41
100,28.02
101,27.61
102,27.66
103,27.63
104,27.54
105,27.51
106,27.94
107,27.04
108,26.94
109,27.58
110,27.9
111,27.93
112,27.87
113,27.62
114,27.98
115,27.83
116,27.63
117,27.33
118,27.26
119,27.16
120,27.7
121,27.77
122,27.56
123,27.64
124,27.48
125,27.29
126,27.51
127,27.69
128,27.58
129,27.69
130,28.15
131,28.3
132,28.2
133,28.07
134,28.29
135,28.01
136,27.81
137,27.73
138,27.83
139,27.82
140,27.9
141,28.06
142,27.98
143,27.92
144,27.78
145,28.04
146,28.11
147,27.69
148,27.71
149,27.83
150,27.83
151,28.01
152,28.07
153,28.08
154,27.94
155,28.19
156,28.26
157,28.32
158,27.59
159,27.82
160,28.12
161,27.08
162,27.56
163,27.26
164,27.98
165,28.29
166,28.23
167,27.19
168,27.91
169,28.08
170,28.14
171,28.13
172,27.81
173,27.82
174,27.81
175,27.9
176,27.68
177,28.07
178,28.65
179,28.85
180,28.49
181,28.79
182,28.43
183,28.06
184,28.35
185,28.05
186,28.3
187,28
188,27.87
189,27.9
190,27.53
191,27.23
192,28.1
193,27.58
194,27.43
195,27.83
196,27.78
197,28.17
198,28.08
199,28.58
200,27.76
201,28
202,28.36
203,27.69
204,27.93
205,28.05
206,27.98
207,28.13
208,27.94
209,27.54
210,27.96
211,28.03
212,28.5
213,28.48
214,28.1
215,28.46
216,28.83
217,27.9
218,27.92
219,27.89
220,27.96
221,27.88
222,27.54
223,28.01
224,27.92
225,27.87
226,28.15
227,27.67
228,28.08
229,27.57
230,27.9
231,27.65
232,27.79
233,27.66
234,27.8
235,28.05
236,28.07
237,27.94
238,27.74
239,27.73
240,27.71
241,27.9
242,27.72
243,27.51
244,27.98
245,27.98
246,28.58
247,27.86
248,27.83
249,27.92
250,28.19
251,28.08
252,28.18
253,27.82
254,27.86
255,27.91
256,28.19
257,27.78
258,27.55
259,27.69
260,27.7
261,27.93
262,28.23
263,28.36
264,28.24
265,27.57
266,27.32
267,27.01
268,27.33
269,27.08
270,27.43
271,27.04
272,27.38
273,27.27
274,27.23
275,27.08
276,26.97
277,27.09
278,26.89
279,26.78
280,26.98
281,27.26
282,27.43
283,27.29
284,27.45
285,27.45
286,27.93
287,27.58
288,27.85
289,27.49
290,27.72
291,27.36
292,27.29
293,27.08
294,26.58
295,27.43
296,27.35
297,27.27
298,27.19
299,26.98
300,26.46
301,26.65
302,26.57
303,26.57
304,26.87
305,27.05
306,26.87
307,26.94
308,26.65
309,26.74
310,27.03
311,27.22
312,27.41
313,26.86
314,26.8
315,27.01
316,27.16
317,26.78
318,26.58
319,26.85
320,27.09
321,26.83
322,27.16
323,27.19
324,27.08
325,27.15
326,27.44
327,27.08
328,26.55
329,26.9
330,26.81
331,26.24
332,26.85
333,26.68
334,26.72
335,26.74
336,26.53
337,26.82
338,26.94
339,26.67
340,26.87
341,27.56
342,27.01
343,27.26
344,27.94
345,27.97
346,27.85
347,27.98
348,27.32
349,26.92
350,27.65
351,27.75
352,27.62
353,27.4
354,27.73
355,27.59
356,28.24
357,28.4
358,28.31
359,28.31
360,28.39
361,28.01
362,27.73
363,27.99
364,27.85
365,27.53
