Y,CO2,NO2,O3,PM10,PM25,SO2,Periode
30.2,198.60268,0.046857167,55.789948,10.486722,5.6374097,0.3874302,1
28.2,197.60132,0.046455536,54.93164,10.719325,4.618169,0.40978193,2
26.6,198.60268,0.046857167,54.64554,11.155578,3.520902,0.40233135,3
25,201.94054,0.048195943,55.07469,11.116206,2.2259188,0.37625432,4
26,205.2784,0.048865333,55.789948,10.40525,1.9794711,0.33900142,5
26,208.61626,0.050204106,56.505203,9.402518,1.7926769,0.31292439,6
26,208.61626,0.050204106,55.789948,8.482822,1.7522373,0.31292439,7
24,205.2784,0.050204106,52.928925,7.5866675,1.8584585,0.3427267,8
23,200.2716,0.046857167,50.0679,7.6365867,2.2080758,0.39488077,9
24,196.93375,0.044179615,51.498413,8.487648,2.4766808,0.42840838,10
25,198.60268,0.04284084,53.64418,9.357371,2.585729,0.42840838,11
26,200.2716,0.04049798,55.789948,10.338728,2.390081,0.39860606,12
27,203.60947,0.040163286,59.366226,10.5233135,2.0860224,0.3501773,13
29,205.2784,0.03882451,62.22725,10.63597,1.9370468,0.31664968,14
29,205.2784,0.03882451,62.942505,9.964803,1.8353107,0.29802322,15
29,205.2784,0.03882451,62.942505,9.214411,1.7251893,0.28684735,16
29,203.60947,0.037485734,62.22725,8.772117,1.6406621,0.28312206,17
28,201.94054,0.042506143,60.796738,8.753794,1.6333728,0.29429793,18
27,200.2716,0.050204106,59.366226,8.807467,1.6368104,0.3017485,19
27,201.94054,0.0562286,58.65097,8.77486,1.6662308,0.3054738,20
27,201.94054,0.0562286,58.65097,8.675813,1.6905783,0.3091991,21
27,201.94054,0.054889824,57.935715,8.91592,1.7058017,0.31292439,22
27,200.2716,0.052881658,57.935715,9.227945,1.7327535,0.32037497,23
27,200.2716,0.05221227,58.65097,9.49179,1.7653873,0.32410026,24
27,200.2716,0.05221227,59.366226,9.907828,1.8273274,0.32782555,25
28,201.94054,0.05221227,61.511993,10.095885,1.8884155,0.32782555,26
29,203.60947,0.052881658,63.65776,9.879244,1.8928599,0.32037497,27
31,205.2784,0.05221227,66.51878,9.503339,1.8595637,0.31664968,28
31,206.94733,0.05221227,67.949295,9.008138,1.8291963,0.31292439,29
32,206.94733,0.051542886,68.66455,8.729765,1.7879448,0.31664968,30
32,205.2784,0.050873496,68.66455,8.912433,1.7960476,0.31664968,31
31,206.94733,0.054889824,67.23404,9.3376875,1.8106897,0.31664968,32
31,206.94733,0.060914315,66.51878,9.351754,1.8260555,0.32037497,33
30,208.61626,0.05555921,65.80353,8.640116,1.8226182,0.32037497,34
30,206.94733,0.04618778,64.37302,7.750329,1.8193358,0.32410026,35
29,205.2784,0.038155124,62.22725,6.815522,1.8314195,0.32782555,36
27,203.60947,0.030791853,59.366226,6.9653473,1.9296236,0.33900142,37
26,200.2716,0.025771443,56.505203,7.022172,2.0495067,0.3501773,38
25,200.2716,0.023428584,55.07469,6.9463325,2.1528714,0.35762787,39
25,198.60268,0.023763277,53.64418,6.8342905,2.219349,0.36507845,40
24,196.93375,0.026775524,52.928925,6.6867456,2.24805,0.37252903,41
24,195.26482,0.03146124,52.928925,7.5935626,2.276788,0.37625432,42
25,195.26482,0.038155124,53.64418,8.999838,2.334924,0.37625432,43
25,195.26482,0.04351023,53.64418,11.022134,2.3650203,0.37252903,44
25,196.93375,0.04351023,54.359436,12.198974,2.366476,0.37252903,45
26,198.60268,0.044849,55.789948,11.969586,2.3696811,0.37252903,46
26,198.60268,0.04618778,57.22046,9.593794,2.3395455,0.3799796,47
27,198.60268,0.04551839,57.935715,7.763611,2.3315036,0.39115548,48
27,198.60268,0.044179615,58.65097,7.517936,2.324217,0.39860606,49
27,198.60268,0.044849,58.65097,8.041439,2.3202748,0.39860606,50
27,200.2716,0.04618778,59.366226,8.654108,2.2838447,0.3874302,51
28,200.2716,0.047526553,60.081482,8.514708,2.195546,0.37625432,52
28,200.2716,0.046857167,60.081482,7.923108,2.0661488,0.36507845,53
27,200.2716,0.04618778,59.366226,7.097172,2.0591707,0.36880374,54
27,198.60268,0.04551839,58.65097,6.81578,2.072363,0.37625432,55
26,198.60268,0.047526553,57.22046,7.661589,2.1024218,0.3837049,56
25,198.60268,0.04551839,54.359436,8.718614,2.2300205,0.40233135,57
23,198.60268,0.03715104,50.783157,8.457276,2.501037,0.42840838,58
22,196.93375,0.027444912,47.922134,7.1849914,2.7506132,0.44330955,59
21,193.59589,0.021253072,45.41874,6.950173,2.984422,0.45448542,60
20,193.59589,0.017571438,43.988228,7.205668,3.06595,0.45448542,61
19,191.92696,0.01573062,41.84246,7.8984804,3.1185627,0.45076013,62
19,191.92696,0.015563274,41.484833,8.744758,3.090378,0.43958426,63
20,191.92696,0.018073479,43.272972,9.623435,2.9763355,0.4209578,64
21,191.92696,0.022089807,45.41874,10.253539,2.8468864,0.40978193,65
21,191.92696,0.025771443,45.41874,10.703334,2.771884,0.40605664,66
21,191.92696,0.030457158,45.41874,10.663057,2.7308512,0.39860606,67
22,193.59589,0.03547757,47.20688,10.423121,2.720472,0.39115548,68
24,195.26482,0.039159205,52.21367,11.240661,2.7131088,0.3837049,69
26,196.93375,0.044179615,56.505203,12.098125,2.7430437,0.37625432,70
27,198.60268,0.046857167,59.366226,12.845977,2.7800217,0.37252903,71
28,198.60268,0.047526553,60.796738,12.583639,2.7458754,0.36880374,72
