Periode,suhu
1,27.5
2,27.44
3,27.21
4,27.34
5,27.77
6,27
7,27.31
8,27.36
9,27.42
10,27.14
11,27.15
12,27.24
13,27.41
14,27.06
15,27.62
16,28.12
17,28.06
18,27.55
19,27.37
20,27.87
21,27.85
22,27.63
23,27.81
24,27.55
25,27.58
26,27.43
27,27.26
28,27.41
29,27.62
30,27.34
31,27.47
32,27.51
33,27.18
34,27.3
35,27.43
36,27.52
37,27.64
38,28.19
39,28.04
40,27.8
41,27.31
42,27.63
43,28.31
44,27.51
45,27.98
46,28.33
47,28.49
48,28.03
49,27.85
50,27.55
51,27.67
52,27.62
53,27.81
54,28.19
55,28.01
56,28.01
57,28.16
58,27.87
59,28.26
60,28
61,28.01
62,28.35
63,27.93
64,28.43
65,28.33
66,28.2
67,28.19
68,27.8
69,28.23
70,28.23
71,27.91
72,28.18
73,28.54
74,28.59
75,28.71
76,28.79
77,28.84
78,28.95
79,28.85
80,28.21
81,27.8
82,28.18
83,28.46
84,28.63
85,28.97
86,28.32
87,28.37
88,28
89,28.51
90,28.28
91,28.28
92,28.29
93,28.23
94,28.29
95,28.61
96,28.19
97,28.72
98,28.91
99,28.44
100,28.43
101,28.73
102,28.46
103,28.3
104,28.72
105,28.85
106,28.73
107,28.5
108,28.41
109,28.6
110,27.95
111,28.07
112,28.08
113,28.05
114,28.14
115,28.01
116,27.57
117,28.28
118,27.98
119,27.91
120,27.93
121,27.51
122,27.78
123,28.15
124,28.05
125,28
126,28.26
127,27.79
128,27.83
129,27.9
130,27.54
131,28.08
132,28.01
133,27.8
134,27.96
135,27.82
136,27.69
137,27.41
138,27.45
139,27.83
140,27.9
141,27.73
142,27.43
143,27.48
144,27.78
145,27.4
146,27.63
147,27.84
148,27.99
149,28.14
150,28.11
151,27.59
152,27.74
153,28.08
154,28.02
155,27.62
156,27.87
157,27.71
158,28.25
159,28.41
160,28.02
161,27.61
162,27.66
163,27.63
164,27.54
165,27.51
166,27.94
167,27.04
168,26.94
169,27.58
170,27.9
171,27.93
172,27.87
173,27.62
174,27.98
175,27.83
176,27.63
177,27.33
178,27.26
179,27.16
180,27.7
181,27.77
182,27.56
183,27.64
184,27.48
185,27.29
186,27.51
187,27.69
188,27.58
189,27.69
190,28.15
191,28.3
192,28.2
193,28.07
194,28.29
195,28.01
196,27.81
197,27.73
198,27.83
199,27.82
200,27.9
201,28.06
