Date,Periode,Rupiah (ribu)
5/26/2023,1,16.08565
5/25/2023,2,16.04083
5/24/2023,3,16.0635
5/23/2023,4,16.04323
5/22/2023,5,16.10033
5/19/2023,6,16.12914
5/18/2023,7,16.08938
5/17/2023,8,16.11814
5/16/2023,9,16.13209
5/15/2023,10,16.08955
5/12/2023,11,16.13023
5/11/2023,12,16.07912
5/10/2023,13,16.15098
5/9/2023,14,16.1592
5/8/2023,15,16.23742
5/5/2023,16,16.15649
5/4/2023,17,16.26359
5/3/2023,18,16.21137
5/2/2023,19,16.14337
4/28/2023,20,16.1119
4/27/2023,21,16.25257
4/26/2023,22,16.38957
4/25/2023,23,16.46359
4/24/2023,24,16.44799
4/21/2023,25,16.42309
4/20/2023,26,16.36481
4/19/2023,27,16.39021
4/18/2023,28,16.31923
4/17/2023,29,16.29922
4/14/2023,30,16.29179
4/13/2023,31,16.22493
4/12/2023,32,16.25332
4/11/2023,33,16.26325
4/6/2023,34,16.29063
4/5/2023,35,16.3309
4/4/2023,36,16.25148
4/3/2023,37,16.26913
3/31/2023,38,16.30019
3/30/2023,39,16.37604
3/29/2023,40,16.33517
3/28/2023,41,16.3534
3/27/2023,42,16.31916
3/24/2023,43,16.31605
3/23/2023,44,16.45063
3/22/2023,45,16.46508
3/21/2023,46,16.49075
3/20/2023,47,16.45338
3/17/2023,48,16.33202
3/16/2023,49,16.36521
3/15/2023,50,16.35253
3/14/2023,51,16.49299
3/13/2023,52,16.4979
3/10/2023,53,16.40295
3/9/2023,54,16.2943
3/8/2023,55,16.29052
3/7/2023,56,16.40379
3/6/2023,57,16.32606
3/3/2023,58,16.25646
3/2/2023,59,16.24663
3/1/2023,60,16.27343
2/28/2023,61,16.19342
2/27/2023,62,16.11969
2/24/2023,63,16.09817
2/23/2023,64,16.14105
2/22/2023,65,16.17812
2/21/2023,66,16.19481
2/20/2023,67,16.17869
2/17/2023,68,16.1607
2/16/2023,69,16.19338
2/15/2023,70,16.32055
2/14/2023,71,16.30353
2/13/2023,72,16.27844
2/10/2023,73,16.23333
2/9/2023,74,16.27995
2/8/2023,75,16.22739
2/7/2023,76,16.23913
2/6/2023,77,16.33836
2/3/2023,78,16.3127
2/2/2023,79,16.36069
2/1/2023,80,16.29947
1/31/2023,81,16.28257
1/30/2023,82,16.33528
1/27/2023,83,16.28115
1/26/2023,84,16.29897
1/25/2023,85,16.27893
1/24/2023,86,16.25905
1/23/2023,87,16.31427
1/20/2023,88,16.36767
1/19/2023,89,16.42966
1/18/2023,90,16.3072
1/17/2023,91,16.46783
1/16/2023,92,16.33503
1/13/2023,93,16.412
1/12/2023,94,16.45612
1/11/2023,95,16.61234
1/10/2023,96,16.67507
1/9/2023,97,16.66192
1/6/2023,98,16.4683
1/5/2023,99,16.54307
1/4/2023,100,16.50476
1/3/2023,101,16.47195
1/2/2023,102,16.63178
12/30/2022,103,16.51982
12/29/2022,104,16.68038
12/28/2022,105,16.76593
12/27/2022,106,16.62058
12/23/2022,107,16.56918
12/22/2022,108,16.52591
12/21/2022,109,16.57377
12/20/2022,110,16.53709
12/19/2022,111,16.50672
12/16/2022,112,16.57547
12/15/2022,113,16.5914
12/14/2022,114,16.59951
12/13/2022,115,16.52181
12/12/2022,116,16.52463
12/9/2022,117,16.45346
12/8/2022,118,16.42392
12/7/2022,119,16.46517
12/6/2022,120,16.44149
12/5/2022,121,16.33236
12/2/2022,122,16.17978
12/1/2022,123,16.16084
11/30/2022,124,16.27181
11/29/2022,125,16.30158
11/28/2022,126,16.44045
11/25/2022,127,16.28244
11/24/2022,128,16.29535
11/23/2022,129,16.18981
11/22/2022,130,16.10679
11/21/2022,131,16.11676
11/18/2022,132,16.22436
11/17/2022,133,16.22401
11/16/2022,134,16.24837
11/15/2022,135,16.16478
11/14/2022,136,16.05212
11/11/2022,137,15.97945
11/10/2022,138,15.6156
11/9/2022,139,15.71707
11/8/2022,140,15.65276
11/7/2022,141,15.64895
11/4/2022,142,15.49181
11/3/2022,143,15.4002
11/2/2022,144,15.49257
11/1/2022,145,15.5346
10/31/2022,146,15.48955
10/28/2022,147,15.48188
